blog id,보석십자수,미니어처,펀치 니들,3d펜,3d프린터,가죽공예,가방 만들기,양모펠트,프랑스 자수,스크래치 북,DIY,LED조명,무드등,칼림바,오르골,발난로,우산,캡슐 세제,전자저울,산소포화도 측정기,소음 측정기,거리 측정기,온습도계,적외선 온도계,높이 측정기,타이머,유수분 측정기
amaim30,,,,,,,,,,,,,,2.760674810035793,,,,,,,,,,,,,
kyakya_4001,,,,,,,,,,,4.069547963678163,,,3.6363428218977085,,5.034427971016801,0.0,,3.1262287279579546,,,,,,,,
nora_nori,3.437765117332707,,,,,,,,,,2.1268654387486228,,0.0,4.728686474061821,,,,3.2368021283265387,,,,,,,,,
rin141206,,,,,,,,,,,,,,3.510887880870388,,,,,,,,,,,,,
vhglglgl,,,,,,,,,,,,3.3348596417222094,,3.7774611755813945,,,,,,,,,,,,,
skyfox1011,,,,,,2.4681142153812035,,,2.9065092589593124,,4.3118178808153385,,,3.7887701345327023,,,0.0,,,,,,,,,,
miminimkkk,3.354912256011945,,,,,,,,0.0,2.9744303524220665,3.074084623619224,,4.2550163243839725,3.474893630630633,,4.140960482642808,,,,,,,,,,,
lim8419,,,,,,,,,,,4.744078236534364,,,4.072868411485456,,,,,,,,,,,,,
shanesemi,,,,,,,,,,,3.9710775433355754,3.2997359230532064,5.535480397940851,3.7984815169677124,4.930462934232707,,,5.0810346790054925,,,,,,,,,
yacomworld,,,,,,,,,,,,,0.0,2.6954133133735723,,3.204277368534311,,,,,,,,,,0.0,
lsogk70,,4.110740417577056,,,,,,,,,3.534603469104005,,,3.8887303168659098,,,,,,,,,,,,2.568483462567535,
songitktk,,,,,,,,,,,,,,,,,,,,,,,,,,,
rudtj7177,3.716596061843172,,,,,,,,,,3.9163628534747446,,,4.658866454824715,,,,,,,,,,,,,
skyjh0902,3.9765444595957864,,,,,,,,,,4.599644005765709,0.0,3.4423808335886785,,,,,2.6121763963859994,,,,0.0,,,,3.1744642481768177,
minica3892,,,,,,,,,,,,,,,,,,,,,,,,,,,
tsslove,,2.1801336573244177,,,,,,,,,2.067811740837794,,,,,,1.961448467021483,,,,,,,,,,
sunnybloger,,,,,,,,,,,,,0.0,,,,,4.27870928079018,,,,,4.313444004377203,,,,
syol07,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.404577170586518,
namjji85,,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,,,,,,,
yoong4097,,,,,,,,,,,2.989274252877784,,4.808645470781155,,,,,,,,,,,,,,
11ansgallry,2.8462589190935077,,,,,,,,2.8064419757193146,,3.0236107245797337,,3.2542141545225864,2.572429869285892,,,0.0,,,,,,,,,,
amoris1105,3.818481164109443,,,,,2.7642360413249505,,3.6841663482775626,,,4.245553011266133,,3.799590473366143,,3.174366173310605,,,,,,,,,,,,
33ehddks,,,,,,,,,,,2.9804999044573717,,2.827136907098561,1.7225492475907451,,1.8179143428932067,2.40949555218205,3.7671716306572227,,,,,,,,,
bang_0215,,,,,,,,,,,,,,,,,,,,,,,,,,,
dreamersr12,,,,,,,,,,,2.9337119066432056,,,,,,,,,,,,,,,,
ooza-,,,,,,,,,,,,,4.09148471145053,2.466619876076185,,,2.7278824752686375,4.624200665583302,,,,,3.887844373475745,,,,
popopo2013,,,,,,,,,,,1.6689489570253278,,3.0642935323833616,,,,2.7065492442412955,3.3233104954174992,,,,,,,,,
rlagmltn2,,,,,,,,,,,,,,,,,,,,,,,,,,,
uniqueplace_,5.048293803063838,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
sticky9,,3.3313602980508574,,,,,,,,,3.557548566328577,,4.284344727206439,,,,,3.227902431484064,,,,,,,,4.808631239957291,
kwonsh0637,,,,,,,,,2.9654365596261445,,,2.933954291864571,4.92450645158838,,,,5.483335299049794,,,,,,,,,,
ue8755,,,,,,,,,,,2.923501100448125,3.5880338641385388,,,,,,,,,,,,,,,
codnjswhddn,,,,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,
yoon--sss,,,,,,,,,,,3.002431171263885,,3.879527602817084,,,,4.279793230822759,,3.1459517742815843,,,,,,,,
dmslse11,,,,,,,,,,,,,,,,,,,,,,,,,,,
penguinnews,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
iletaittemps,,,,,,,,,,,3.0026786808840695,,,,,,,,,,,,,,,,
alwayspurelu,,,,,,,,,,0.0,3.005135561991836,,4.270660897268712,4.091071408309673,,,,,0.0,,,,,,,,
arom0520,,,,,,,,,,,5.1789101021075945,,,,,,,,,,,,,,,,
83younsuk,,,,,,,,,,,,,,3.7045191757357294,,,,,,,,,,,,4.333059637628741,
jdmkr,,,,,,,,,,,,,,,,,,,,,,,,,,,
aimi0803,,,,,,,,,,,3.129383472675613,,,,,,,,,,,,,,,,
