,Post URL,Post,Image num,sticker num,gif num,Paragraph num,Comment num,Video num,weekly viewer mean,Sympathy num,AD,Posting Date,Buddy num,Total visit,Blog category,Comment detail
0,https://blog.naver.com/honeyyum?Redirect=Log&logNo=221462489821,"안녕하세요허니윰이에요추운 겨울에도 #자외선차단제 꼭 발라줘야한다는것은많은 분들이 알고 계시는 정보죠​저도 외출할때 화장은 안하더라도자외선차단제는 꼭 바르고 다니다보니어느새 한통 다 썼더라고요​그래서 얇고 가볍게 발리는#후르디아 울트라 UV 쉴드 선에센스를새롭게 사용하고 있어요#후르디아선크림후르디아의 새로운 자외선차단제에요종류는 울트라 UV 쉴드 선 에센스와톤 업 베이스 선크림 두 가지가 있어요​​트리플 히알루론산, 아세로라,피부보습장벽강화 특허성분이 들어있어서촉촉하다는 것이 이 제품의 큰 장점이에요​​파라벤6종, 벤조페논, 색소 등주의성분 무첨가에피부자극테스트까지 완료해서민감 피부도 사용 할 수 있어요​​​​​​신상품인만큼 유통기한도 넉넉해요2022년 1월 10일까지에요촉촉한 자외선차단제인만큼사계절 내내 사용하기 좋고건성인 피부가 쓰기에도 좋아요​그리고 또 중요한 한가지가 있는데외부 유해 환경 방어가 되는 제품이라서요즘 난리인 미세먼지까지 차단해줘요에센스라서 흐르는 제형인가했는데의외로 흘러내리지 않는 제형이에요명칭은 에센스이지만 일반 선크림같아요​후르디아 자외선차단제는 손등에 발랐을때에센스처럼 정말 얇게 발리더라고요​제형은 일반 선크림이지만사용감은 가벼운 선에센스였어요​​​사용감이 촉촉해서혹시 유분이 많은것은 아닐까했는데바르고 나서 기름종이로 찍었을때묻어나는 기름의 양이 적었어요!​유분은 적으면서 촉촉해서수부지피부도 사용하기 좋아요​​얼굴에 직접 사용해보았을 때가볍게 발리고 촉촉하다는것을훨씬 더 잘 느낄 수 있었어요​​그리고 백탁현상이 전혀 없고사용 후 메이크업을 할 때때처럼 밀리는 현상도 없어요!​​가격도 1개에 9,000원이라서가성비가 좋은 선크림이에요​​​후르디아 자외선차단제는가격은 저렴하지만 성분 착하고, 촉촉하면서도 가벼워서 #데일리선크림 용도로#선크림추천 합니당 ㅎㅎ​​​​​​​이 글은 위블을 통해 본 업체에서
제품 또는 서비스를 제공받아 작성된 글 입니다.

세
 
 
 
",13,2,0,148,2,0,137.2,9,text_ad,2019. 2. 11. 12:30,681,401832,국내여행,"['선크림은 진짜 일년내내 필수품이죠 *_* ㅎㅎ', '진짜 계절불문 써야해요 ㅋㅋ']"
1,https://blog.naver.com/honeyyum?Redirect=Log&logNo=221485105352,"안녕하세요허니윰이에요제가 피부가 굉장히 건조해서미스트도 자주 사용하고,사무실에서 휴대용가습기는필수로 사용하고 있어요​​피부의 건조를 잡아주기위해서매일 매일 미스트 사용하고휴대용 가습기 청소하고..​​그때마다 항상 궁금했던게정말 이 수분이 피부의수분을 높여주는걸까?데이터로 볼 수 없을까?이런 궁금증이 생겼었어요​​그런데 이런 저의 궁금증을해결해 줄 수 있는 피부측정기 겸용으로 나온휴대용가습기가 있더라고요​바로, 워터밋의 #나노미스트​#페이스밋 나노미스트는윗부분은 #휴대용가습기아랫부분은 #피부측정기두 가지 기능으로 사용가능해요​기능적인 부분에서도 좋았지만방송통신기자재 안전인증도 받은안전한 제품이라서 좋았어요​가격은 할인가 기준 5만원대에요 ​구성품은 전동나노미스트, 설명서, 충전케이블, 품질보증서, 개런티카드,스포이드병, 파우치이렇게 구성이 되어있어요휴대용가습기로 사용할 수 있게사이즈는 아담하게 나왔어요500ml 생수보다 조금 더 작아요​5핀 케이블로 충전이 가능해서컴퓨터 할때 꽂아놓고하기에도 좋은 제품이에요​그리고 5핀 포트 말고 말고USB 포트가 하나 더 있잖아요?이게 또 보조배터리로도 사용이 가능하다고해요아니 휴대용가습기를 샀는데따라 오는 기능이 엄청 많아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ​​위의 물병쪽에는 램프가 있는데각 상황에 따라 색깔이 달라요​사용중일때는 파란색으로켜지는데 UV살균램프에요​얼굴에 사용하는 제품인만큼청결하게 관리하고 싶은분들도위생 걱정 안해도되는 미스트에요​그리고 충전중일때는 빨간색!​​충전 중 사용할때는 보라색,충전이 완료되었을때는 초록색​각 단계별로 다른 색으로연출되는 것을 보면서생각보다 작은 부분에도신경을 많이 쓴것 같다는느낌을 받았어요 ㅎㅎ기기 하단에 피부측정기가 있는데전원이 따로 있어서 좋더라고요두 개의 작은 센서칩이 바로피부를 측정해주는 센서에요​페이스밋 나노미스트의사용 방법은 생각보다 쉬워요​물통을 분리하고,스포이드병으로 물을 채우고뒤집어서 끼워주고전원켜서 뿌려주면 끝​피부측정기 겸용 휴대용가습기인페이스밋의 나노미스트는사이즈가 작은데도 분사력이 좋아요​저 위의 물통이 30ml인데이 정도 양이면 미스트로 사용시2~3주 정도는 사용할 수 있어요​​​​페이스밋의 나노미스트는물을 0.3um의 입자로분사를 해주는 제품이에요​그래서 일반 미스트보다피부에 수분을 전달하고흡수하는데 더 좋아요​​미스트 분사 후 피부측정기 사용해비포 애프터를 비교해보았어요​수분이 21.6%에서 79.1%로완전 많이 증가한것을바로 알 수 있었어요 ㅋㅋ​제 마음을 아프게 했었던입꼬리가 내려간 얼굴이스마일로 바뀐걸 보니기분이 좋아지더라고요 ㅋㅋ​​손등이 아닌 얼굴에 사용했을때비포 애프터도 비교해보았어요수분이 2배 이상 뛴것이 눈에 띄어요​사용 직후 바로 잰거라서더 높게 나온것도 있겠지만그래도 확실한건 수분도가많이 올랐다는거에요!! ㅎㅎ​물이 나노 입자로 분사가되서피부의 흡수도 더 빠르게 되니다른 휴대용가습기보다 좋아요​오일이나 가루가 들어있지않다면물이랑 같이 에센스를 넣어서사용 할 수 있다는 점도굉장히 좋은 장점이였어요​​휴대용가습기 하나 샀는데피부측정기, 보조배터리기능까지 있다고 하니활용도가 정말 다양해요​아주 스마트한 휴대용가습기인페이스밋 나노미스트로건조한계절에 촉촉한 피부관리하시는것을 추천해요!!!덤으로 피부측정까지! ㅋㅋ​…
1 …. 찌그
~ >
",21,3,1,260,0,1,137.2,5,suspect,2019. 3. 11. 1:17,681,401832,국내여행,0
