"타임스탬프","당신의 성별은 무엇입니까? ","당신의 나이는 어떻게 되십니까?","https://blog.naver.com/fksel33?Redirect=Log&logNo=222117045776","https://blog.naver.com/allthatuhyun?Redirect=Log&logNo=222399414620","https://blog.naver.com/milk916?Redirect=Log&logNo=222208676262","https://blog.naver.com/omohj?Redirect=Log&logNo=222206939724","https://blog.naver.com/m9949?Redirect=Log&logNo=222309691910","https://blog.naver.com/ozoz1128?Redirect=Log&logNo=222371261511","https://blog.naver.com/hyuni2mail?Redirect=Log&logNo=222280777763","https://blog.naver.com/jadore02?Redirect=Log&logNo=222391189930","https://blog.naver.com/goodnabi0?Redirect=Log&logNo=222273976275","https://blog.naver.com/xxnxy?Redirect=Log&logNo=222271874753","상품의 구매욕구를 일으킨 요인은 무엇이라고 생각하십니까?"
"2021/07/14 4:29:30 오후 GMT+9","여자","20대","아니오","예","아니오","예","아니오","아니오","아니오","아니오","아니오","예","실제 사용하는 이미지나 움직이는 GIF, 영상이 있는 경우 제품에대한 신뢰도가 올라가고, 내용이나 이미지도 깔끔한 경우 가독성이 있어 더 구매욕구를 일으킨게 아닐까생각합니다."
"2021/07/14 5:07:40 오후 GMT+9","남자","20대","아니오","예","아니오","아니오","아니오","아니오","예","예","예","아니오","상품정보"
"2021/07/15 6:15:48 오후 GMT+9","남자","40대 이상","예","아니오","예","예","예","아니오","아니오","아니오","아니오","예","실제 저울을 활용하면서 사용해봐야 겠는다는 느낌이 드는 것. 광고 느낌이 없는것"
