"타임스탬프","당신의 성별은 무엇입니까? ","당신의 나이는 어떻게 되십니까?","https://blog.naver.com/susu0722?Redirect=Log&logNo=222131085908","https://blog.naver.com/gpwls1149?Redirect=Log&logNo=222096519804","https://blog.naver.com/dlthdus11111?Redirect=Log&logNo=222034729157","https://blog.naver.com/twodeco?Redirect=Log&logNo=222205016622","https://blog.naver.com/dlwnqhd2?Redirect=Log&logNo=221553701391","https://blog.naver.com/kyakya_4001?Redirect=Log&logNo=222104680504","https://blog.naver.com/magicpearl?Redirect=Log&logNo=222112278345","https://blog.naver.com/chub_chub?Redirect=Log&logNo=222029671215","https://blog.naver.com/babysue228?Redirect=Log&logNo=222060595436","https://blog.naver.com/teamsparco?Redirect=Log&logNo=222097016527","상품의 구매욕구를 일으킨 요인은 무엇이라고 생각하십니까?"
"2021/07/14 3:52:21 오후 GMT+9","여자","20대","아니오","아니오","아니오","예","아니오","아니오","아니오","아니오","아니오","예","깔끔한 내용(필요없는 설명X)과 상세한 정보 소개"
"2021/07/14 5:16:38 오후 GMT+9","남자","20대","아니오","아니오","아니오","아니오","아니오","예","아니오","예","아니오","아니오","깔끔한 글"
"2021/07/15 11:53:26 오전 GMT+9","남자","20대","아니오","아니오","아니오","아니오","아니오","예","예","예","아니오","아니오","정보전달, 이미지나 영상자료"
