blogid,weekly view,2021 post num,5years post num,보석십자수,미니어처,펀치니들,3d펜,3d프린터,가죽공예,가방만들기,양모펠트,프랑스자수,스크래치북,LED조명,무드등,칼림바,오르골,발난로,우산,캡슐세제,전자저울,산소포화도측정기,소음측정기,거리측정기,온습도계,적외선온도계,높이측정기,타이머,유수분측정기,아두이노,라즈베리파이,마이크로비트,휴대용선풍기,스피커,디퓨저,기저귀,파우치,운동화,청소세제,로봇청소기,전동칫솔,수납박스,청소포,에어프라이어,거북목베개,컵홀더,공기청정기,진공청소기,자외선차단제,섬유유연제,가습기,마우스패드
ese2698,229.8,270,628,30.370706332806456,39.59573737852669,37.372186856140154,31.575597000152364,18.569300011777365,30.15215055386124,28.615025437197524,38.55747928392978,37.67179321907777,38.67553009078123,35.51183652715374,41.76524936193899,27.211793236557977,36.445031124850885,23.053868852004538,42.25183652826816,30.501121166213856,40.52887591376538,43.101997215144486,41.28687438949734,41.946768663713364,41.52502454359763,41.20317512100207,,41.568776935283964,43.35788242444558,32.68508488791508,34.14861171460056,32.36025804896841,38.03233075193978,33.139136342869016,39.61433386259014,42.39043635861843,40.7846757690072,40.7846757690072,34.306962462543325,32.680507431197114,23.171128160304715,33.53251111194439,34.55884142438659,38.64498056840755,33.139136342869016,41.16549925451453,34.067281588230564,32.38996714676454,40.7846757690072,37.31600106929147,48.45941580453936,40.7846757690072
dalnim-design,182.2,90,342,31.394753005650763,39.823067097808675,37.76654572984954,28.60266503154533,35.47479945886729,27.724443615450753,28.917145390909806,39.25584848127163,37.99116298440312,38.86213810572633,35.47479945886729,34.92838738601184,30.909331890361596,30.78230237731785,25.272239093126398,30.3081242660597,23.186429974359857,40.87012610182612,43.20028574706496,41.603337538943244,42.496710662385446,40.75857237445394,40.038223342785884,,40.69219760397037,43.8923005698342,34.352095381988065,35.47479945886728,29.409586450192663,28.44352109781256,34.275678189578464,36.50087630878515,39.20593448617406,34.17608489611638,16.498355373175617,27.549584003415767,32.098599867980596,31.9465384473999,23.186429974359857,23.186429974359857,27.54958400341576,18.201812779079848,39.44199699127194,33.62658405280863,32.70256567656128,33.64758767957824,37.76991109415103,18.201812779079848,24.85927330073418
sweety2209,2889.6,390,387,29.927690573234127,39.90443091171481,37.42183662690339,31.516393554741782,32.781488219071576,28.86310671350266,28.86310671350266,38.39373588063244,37.84570162175081,38.95450502312625,36.44717050404895,41.0551422684902,32.38923208772128,32.38923208772128,24.525372936205333,42.84380645161437,30.42540053224143,40.38380782211877,42.394621660841935,41.52079798943592,41.840100928040805,41.350968909639434,40.24511343543496,,40.838779140507164,43.346885296184894,32.37504778511444,34.568220123675324,33.08016770379332,38.95021201827904,35.60929405098654,38.484142284670206,42.359622866354584,32.78148821907157,34.47716071735005,33.42723469234408,32.47138495140193,28.696962589605,33.09217625331821,34.45229512342414,38.50982294981049,32.38923208772128,42.03656093084563,34.02254771622259,32.800182434110624,35.96500066970871,38.95021201827903,38.95021201827904,32.78148821907157
sssunz,22.4,30,181,31.45444873813592,39.75310982743364,37.84374614445413,31.264492732112014,26.822624413034173,27.82763444312026,28.911436641825652,39.124938485599124,38.201567957420494,38.99677281032246,35.653118595650206,41.467528771507425,29.969769347144826,30.271819758426705,24.52627124271682,43.11584358807663,30.90982546001773,40.74775380562194,42.42730444240972,41.679151415269,42.2210992653843,41.36642615073094,40.59405089701279,,41.193951831063885,43.44482643961078,33.03643174491898,34.30380031875858,32.65786580978733,35.867538925862966,35.0888971824849,37.128953282839795,41.58126891328811,35.317132270969125,34.155299806844994,33.99265488809411,32.3361367092285,29.156108293993825,32.5294646206639,33.61566732354227,38.14938619678819,29.151245104307247,41.993840461762154,33.76788944054511,32.702802262726586,35.34559059262747,37.3569171079951,33.030948162512225,34.37133195554401
sbnita_bibi,845.6,240,380,29.2579101455194,40.69414007057525,37.801891189031224,31.447794023466727,27.174707007068125,31.262981382179404,31.262981382179404,39.077132625096105,37.96399066528045,40.11537988476738,37.90772886570627,47.3610952285864,30.533913845433887,30.76178122538654,23.99276035364885,43.65220409039385,31.49563702661291,40.1491028867555,42.30213181423907,41.58706899424251,41.700949572439555,40.27349907625025,39.59862415773369,,40.6722718511328,43.6684300481625,33.62197154621307,34.512782304868765,32.70035867018373,37.084903987796324,35.0442590498659,37.44249700962899,41.75066328322927,35.716253214499915,35.09094515615417,34.53810079265807,32.9806805821432,28.99899516448368,33.09708167335874,34.43552034562375,38.30790052977994,34.36001026387642,42.35526602315712,34.406900639695415,33.807110366337575,36.21681757413508,37.780760810529955,34.35535076414098,35.06331144339303
nr702411,5526.2,150,911,31.559172930721626,44.163451021130975,44.163451021131,31.828686355109312,22.03731479830155,26.799501590973037,26.799501590973037,44.163451021131,44.163451021131,44.163451021131,34.33917999950039,41.99470909572354,30.298251400825045,30.298251400825045,24.544615660135587,47.02085872989152,30.461161188549415,39.46808452099485,42.13524673757177,40.89529299633524,41.23222113124723,40.733533857830636,39.93919969610956,,40.278027459291174,43.31713502965326,32.72567083136651,34.33917999950038,33.77015645148359,35.273394179804576,42.07221667900902,35.73266878796404,41.631292607568284,34.385127289086846,34.38512728908684,33.16743556284082,31.947736030685654,25.990639136957487,32.1769964175825,33.641517995938855,19.593769244437745,29.19696481404325,47.02085872989152,33.6027980796106,31.903567753436427,34.1704109574204,36.663562295222334,19.172457456129383,25.33051253059878
yoongu0,1302.0,270,1729,54.77929334954378,40.51622055962188,38.453189419533636,31.926241562139563,53.24284187344412,34.3894534284417,40.4590158968024,38.747840690614034,38.334559402255714,39.150199866186014,69.02138652619627,42.281830566678245,95.0,70.20089060283476,25.402312599486045,94.5114258767021,54.23027134290408,89.01244784319013,44.252936515203785,42.81817564836966,89.01244784319012,89.01244784319013,89.01244784319013,,89.01244784319013,44.23187123318758,69.02138652619625,35.01472326344938,34.102274950295474,29.825873488554677,34.455911121722565,39.97720704768321,41.11268348646431,46.09521375548382,33.9236098209704,34.55883272683181,25.094133616057896,31.526427362527,32.6865870663663,33.77481645848316,89.6197503166392,27.435308223534083,44.59042075085354,35.97741694913682,31.64001992935424,34.07240318345765,34.557613361051445,50.95118800959673,94.51142587670212
kiho1030,1578.0,60,502,31.011606632033217,40.08489572409834,37.05113255618072,31.561277126735632,26.240180289449032,27.15548944035074,28.249864652507583,38.47937430041081,37.36739493644011,38.914412582992185,36.44985939026304,41.09225738063781,29.167861874609816,29.415652897413295,25.06277997401531,42.86179104943474,14.367375753333487,40.6512315392335,43.30865510549879,41.79909073598822,42.22987281586124,41.40612610761754,40.2354000893545,,41.038007888927645,43.604020232464364,30.062949466523467,34.19300776487313,32.80303898064478,36.572129748067134,35.20252739458611,37.2953715219522,41.517220445661984,34.60817846310349,32.23764137418908,17.070986161422965,31.247692567921067,29.83462507303658,32.747231764293375,28.73475150666697,34.14197232284592,27.809642831065272,42.25120919552408,33.21669937087602,31.27461280216463,34.634397235016394,36.76395626135059,31.855695749830065,9.578250502222325
88bn_l,126.4,90,226,31.322800378277663,40.19579700601441,37.709667457945336,31.77061069435331,26.1040177937375,27.848989623592942,28.76454974700931,39.65432734205803,38.29014902919565,39.40210348886603,35.875733546818346,41.766896767797334,29.72752606472997,30.083667294722844,24.448073718315296,42.67846127043195,31.10010293768575,41.71779974391261,43.3988731520041,42.07505017643527,42.627070119895464,42.61187227485838,41.90942893514389,,42.29480102592707,43.78947159820957,31.558307868036877,34.11386846831703,32.343575242213774,36.04452094305323,35.02874422706218,37.411810397042736,41.098168358223155,34.97136486506444,33.306354188892705,36.952428612085455,32.14011360708395,28.198620775320666,31.10010293768575,31.10010293768575,36.95242861208545,28.789332410421522,42.43951566244599,32.93212412923042,31.58774059756452,34.76924376792925,36.77216127076478,32.29593473445571,31.100102937685747
cslove89,380.6,210,249,29.507285267286655,40.31015904484941,37.85856609815044,31.138218984884244,27.502270474552514,35.37134800976121,35.37134800976121,38.769439107684526,38.1791011496201,39.58558637876703,35.688402817867164,41.60526081175778,39.69256710012298,39.69256710012298,25.00452107905039,43.53119837462069,31.18468565264862,40.94306334145676,43.098235613636184,41.76335326294363,42.70485820282933,41.50202596480411,41.04964109061508,,41.63294301487303,43.97741591859781,32.32865404741242,34.112831073737475,32.68864391462737,36.535225100595895,35.937450286765134,47.16179734634828,42.47002987087407,35.718440730513045,34.90263409723508,34.018319003694245,32.78149644811388,29.61549504534175,32.850566152703585,34.2150381278456,38.22371236873189,39.69256710012298,42.339791424699904,34.24910229543412,33.00582876884778,36.12418163951647,37.47310942523899,34.127168119349264,34.82612236936964
