,weekly view,2021 post num,5years post num,보석십자수
delphine0327,2670.4,30.0,401.0,43.33622351088484
nora_nori,1125.0,30.0,335.0,42.325204628219566
tncjq5,1125.8,30.0,224.0,38.33053043554183
bijoubitna,9261.6,60.0,1021.0,37.12781136608658
love3550,3835.6,30.0,195.0,36.31264878731783
xingyuner72,1775.8,90.0,1087.0,34.85335246224801
sesirlis,1311.2,60.0,974.0,34.42463397984489
clamsh,1369.0,30.0,503.0,32.52224728852319
11ansgallry,3642.4,180.0,3623.0,32.26275311188823
shinegirl05,1117.4,30.0,728.0,31.298070296976736
ceoseri,9459.2,90.0,2116.0,31.070498268762364
ksuzy0329,3480.6,60.0,659.0,30.942971172947843
u_ulla,2275.0,90.0,1328.0,30.061253699715763
meruya9876,3254.0,60.0,1498.0,29.821325125922854
seoji11,3126.0,30.0,543.0,29.542710701017846
miminimkkk,8062.2,60.0,1091.0,28.937668470996506
ssbling,3228.6,60.0,1482.0,28.727678565663165
ddalgi11,2289.0,60.0,1282.0,28.312076525547504
cyber3578,3288.0,60.0,2082.0,28.19257637104316
arom0520,1692.4,60.0,668.0,28.06349150314781
zellove12,4745.4,120.0,2406.0,27.49977089216776
alway0131,4065.8,30.0,385.0,27.464145193078
rudtj7177,3589.6,30.0,295.0,27.45749005056851
s98soon,1424.4,120.0,3571.0,27.29145112943609
sdsd0536,19606.4,60.0,475.0,27.23525428545193
yej45864586,3482.0,90.0,2138.0,26.971625286541173
lizela87,1828.8,90.0,922.0,26.702268888611812
shining1984,3179.8,120.0,1799.0,26.627536986053382
ilov2h5691,3303.2,60.0,409.0,26.626809209770883
sufreesia,3502.2,90.0,1238.0,26.542794870233067
sj1229,1216.4,30.0,192.0,26.489510463120528
love_yulian,1230.0,150.0,1567.0,26.463692973598338
yelloww613,1024.6,30.0,289.0,26.454856100055963
yacomworld,7903.2,30.0,603.0,26.281754260042018
kbearp,1443.4,30.0,503.0,26.255735736008315
ddiamosho,1998.0,60.0,397.0,26.232883775631638
kyakya_4001,7431.2,120.0,1574.0,25.658687448952065
amaim30,3969.0,30.0,779.0,25.57450233908204
o_ogns07,1198.0,60.0,727.0,25.510740771263183
shanesemi,3252.2,60.0,838.0,25.418025318853864
melonheads,3606.8,60.0,814.0,25.290223433828068
tsslove,2292.8,60.0,959.0,25.269428123690957
77ended,14257.8,150.0,3081.0,25.25988427448347
wltn786,1125.8,60.0,394.0,25.199558473545338
lovmaria,1108.8,30.0,889.0,25.175427760322215
alsl720,1796.8,60.0,654.0,25.103495604803083
vhglglgl,1235.6,30.0,745.0,25.00454898688063
threecolor_cat,1241.0,90.0,655.0,24.99510025022557
tnalalstn,2843.8,90.0,2684.0,24.925232017040553
masejin,2629.8,30.0,607.0,24.835108678183744
xo-elliott,1127.8,270.0,1926.0,24.78315555902755
starule,2980.4,60.0,1053.0,24.71682651345691
seven-queen,1209.2,60.0,1414.0,24.678477533702125
hyey00n,1220.2,60.0,271.0,24.629689554209417
tinynova,1613.8,60.0,1572.0,24.62867586806989
hyetaeng,1114.4,60.0,117.0,24.23908996811034
skyjh0902,2949.0,300.0,2266.0,24.09019309477531
popopo2013,1202.2,60.0,1455.0,23.666999506098527
mslink,1384.6,30.0,261.0,23.562373814210346
darksea02,6534.6,90.0,1926.0,22.706373483235037
hoegod6004,1974.0,90.0,925.0,22.66875400201138
chloeagit,2159.4,150.0,2057.0,22.571048161689262
kwonsh0637,1845.4,150.0,2201.0,22.54140798010799
hyukmint,7071.0,60.0,1995.0,22.282017282141005
rin141206,8611.2,90.0,725.0,21.926870461935298
skyfox1011,3684.4,60.0,1292.0,21.031635262646482
dailycindy,1026.4,60.0,846.0,20.945883908512172
leehaksoon,3821.0,90.0,1463.0,20.20848535421497
pm0146,3385.2,30.0,802.0,18.621155184244298
fbwogus123,1383.0,60.0,725.0,16.350305396325304
yyumun,2507.4,60.0,1500.0,13.08025875630766
ilook2u,1263.6,90.0,649.0,13.033042612923737
