,weekly view,2021 post num,5years post num,보석십자수,미니어처,펀치니들,3d펜,3d프린터,가죽공예,가방만들기,양모펠트,프랑스자수,스크래치북,LED조명,무드등,칼림바,오르골,발난로,우산,캡슐세제,전자저울,산소포화도측정기,소음측정기,거리측정기,온습도계,적외선온도계,높이측정기,타이머,유수분측정기,아두이노,라즈베리파이,마이크로비트,휴대용선풍기,스피커,디퓨저,기저귀,파우치,운동화,청소세제,로봇청소기,전동칫솔,수납박스,청소포,에어프라이어,거북목베개,컵홀더,공기청정기,진공청소기,자외선차단제,섬유유연제,가습기,마우스패드
love_yulian,1230.0,150.0,1567.0,32.498110796098516,28.77174506119511,30.895413086781957,26.26596227676207,26.876458292789913,23.90864407044074,25.007507036079684,31.24925564782557,30.792096431834985,28.699066870534445,30.375958249977057,34.42273411760835,26.381859305003342,26.87763727597202,21.43172353780709,34.81240899452872,19.249826401612133,33.88174433743176,33.89245177092354,34.771249692186736,33.58433171437904,32.83621371598985,33.17790357377551,,33.81907865183995,35.16343119194896,26.740943219805825,25.65204188696732,25.184381330907318,38.677855707710904,28.624146526363376,32.24683894632247,37.316837218696705,30.89317930773954,30.893179307739537,26.561542482154188,25.948589389685587,22.6858067722521,28.525686301022986,26.00660783852266,20.55427771994155,23.594646508055586,32.68788677556027,25.56935781201255,28.19844017231934,29.760405008653034,33.45660489293293,27.365448807969415,29.41652258812159
hyukmint,7071.0,60.0,1995.0,22.282017282141005,22.282017282141005,22.282017282141005,26.218202818412184,28.393222115783587,23.28897591097531,23.72182434907222,26.26789922519902,22.28201728214099,22.282017282141005,29.533020577626175,34.1798669611432,21.606757108446836,21.606757108446836,18.305274494958542,34.362294552864114,32.15975406738101,35.32395118764177,34.614331288879825,36.119042197363285,34.86490453271403,34.899530491141746,35.01408131652612,,35.30012009380393,35.72804291925276,33.046327627788344,25.213622394207256,25.312377217373985,39.57305375836618,29.78228682515645,32.18350803940617,37.22441652524961,33.673124441750524,37.72194126088999,29.477647008449814,27.215956030447416,18.398380942266936,26.109583749400834,37.72194126089,39.573053758366186,28.974609704834755,31.974244495078946,34.20931318624744,31.730936259493237,33.542757385750335,29.837785737066252,33.80334375818956,30.003422862028973
pm0146,3385.2,30.0,802.0,34.76113650702225,30.65797263384678,32.172891636490014,22.85187382401254,27.353810969461186,18.083570649643327,18.26236673566009,32.28412177302055,32.160521958121464,31.09179239568253,29.501939194608003,30.14290151145118,19.92824458778101,23.255461435258063,19.96986934825305,35.09639593533905,31.907177541043946,35.29099141546767,34.716797487673446,35.98351403756102,35.06260423131234,35.022577878598035,35.14169398409648,,35.28297785938474,35.73213869461771,36.55060118565357,25.934613981261624,25.881998750150903,22.374670179926085,28.52369640646988,26.806281152413195,34.14552972455434,26.57625980413473,26.674972209474333,33.14572720349288,32.1401912160832,18.6211551842443,32.99665606876137,29.197632668383115,36.85647744344236,22.48687926404669,32.95020852293269,32.74392849424518,33.71506009458357,29.08549513120677,29.434976963543406,24.02541002118942,28.443285599374892
meertd,662.4,30.0,461.0,30.855870267996984,28.4907782027838,30.645856121695886,25.698891075051947,26.230327813037814,22.931703620950973,26.520772909267933,31.05979452926156,30.675875138822146,28.499617957848248,26.755297594458977,34.851350092436185,29.91080433020739,34.73982809472749,22.48815274012246,33.14988462288136,26.19839768814283,31.674464231125885,32.90636538647312,32.488359587242506,32.60634203546894,32.113318211097564,32.038372553641494,,31.7920250743756,33.23271382803479,32.42621403062187,25.219800029001345,24.86954051565002,29.60666158377202,25.203404696174847,29.237922116712486,34.97390493152579,25.38489313025212,25.384893130252117,27.511880741195267,27.53383750721896,25.638676653296518,23.718681781912974,25.8795849971659,28.290544231081014,20.38040298306009,31.913263681889827,28.56548977991803,29.676395586873372,21.350237148654,30.755550437069687,17.96890212650271,21.350237148654
kdseul33,269.8,30.0,696.0,39.47398693111715,33.897197347077196,39.47398693111715,27.61209793536081,25.03033399555566,23.56893336485936,31.466520797771068,39.47398693111715,39.47398693111715,34.273315466788155,30.74565814974842,39.099502803384766,28.765504917481298,28.97406099257126,19.716241393283013,45.44983115115273,28.110414821030815,34.949657421424014,34.55264167616791,35.74542236637712,34.45428012178959,34.39948519088463,34.62752373848071,,34.84482053879997,35.759669073393916,31.72991949299296,26.748813253345226,27.330211884456453,31.68768995750193,28.651929555653826,34.178512819833074,43.67762669817833,31.734109333670933,31.590652696283847,25.067401666426957,30.03051487531277,24.15420788380404,24.499091140984035,30.66101515312304,32.090852882084484,26.536797249032237,28.21470509104673,27.06461161587521,29.066775744405774,23.00921415684637,34.54982254976667,36.32142279993165,45.449831151152736
maymay123,95.0,60.0,896.0,32.56376440039633,42.0880204826389,45.49168536761194,34.97090273803278,23.986493261522153,51.404157256618745,40.69668875567026,45.49168536761194,45.49168536761194,30.829055257749026,50.74111876269991,52.56642834654017,43.38943256945544,38.75958236416372,27.539128068877325,50.02732416524793,49.12320492973592,46.17822269473473,46.17822269473473,46.17822269473473,46.17822269473473,35.01536472969756,35.26292351274156,,46.17822269473472,46.17822269473473,32.772832835066815,25.307311005134085,25.858540048617574,55.44761890241354,44.80556744931122,37.63980756981881,36.0727999007126,39.68107704752916,43.32393427922937,41.68531272959781,32.57540934931635,30.076385374269826,26.67323916976524,48.71687788656117,31.885144481781655,45.78634796082372,37.05607378583914,53.50499391045548,51.02486098970039,43.766052135992915,34.51104492180603,45.5466797666057,62.99857454465674
s98soon,1424.4,120.0,3571.0,31.700619717257574,36.15103644531508,35.3884501335221,28.198406059331493,26.350838925282122,46.61896105622924,33.264099472393205,35.13425469625777,35.3884501335221,34.073166907287344,34.50059004903351,37.095307143618356,38.36222539789196,40.78325784500039,20.67178248390981,47.24187854273482,35.33288979751435,34.02437101870882,34.45725645443674,33.93424386752197,34.73978815589314,34.05694876859661,34.27168441417979,,33.691764603754166,34.20830341706397,30.95486608762522,34.500590049033505,26.9542260092108,33.39421630163673,29.336504834944638,45.58111586500814,32.773302147393814,33.94694797432426,33.54277849372672,35.35021367597443,35.616264192293215,24.861493676179805,23.320590042073043,25.19740798514651,34.688735977359514,34.984080001467085,47.24187854273481,36.32960053578287,35.616264192293215,41.47085790262199,43.01172320222304,34.839254681427654,27.943662154202592
melonheads,3606.8,60.0,814.0,31.588188369378674,29.431562442590263,30.88789157024346,24.94618685843406,26.463117914183773,22.307344570477444,24.34774567372889,31.075768197919416,30.771574454161136,29.520329446959607,28.146993361991974,33.931624957446196,33.79397049769222,33.793970497692236,21.58836031292161,34.062400218326,29.582621114834172,40.24052412013679,40.24052412013679,40.24052412013679,40.24052412013679,36.76524598287919,37.00908777219418,,40.24052412013678,40.24052412013679,32.508337418195524,25.72483018185052,25.26423180116827,30.823960607130243,24.517194282639455,31.829171370313507,42.48708083685519,35.75820689403397,35.75820689403397,35.14939153399555,29.950136605573093,23.308503595315752,29.582621114834172,29.582621114834172,35.14939153399554,24.51719428263946,32.41761038847155,31.30041023430016,31.656699294672528,29.602564073837257,33.81248704698097,28.250403091627412,32.670414004434065
soulmate1983,736.2,30.0,992.0,32.490134072701935,29.878409502892154,30.705818646693366,26.406444546792063,29.83162795627234,19.113008776284016,19.113008776284016,30.791318658029862,30.56352520379802,29.94117771674687,30.33895534318081,28.95478897845573,26.17914375287055,26.534694287639024,20.919931341109084,35.42600273353595,27.69153016743568,34.92717772238702,34.594432040192004,35.81546666056349,34.67151588074812,33.94862788377687,34.160218214828284,,34.809985316726674,36.244522979374715,27.948610474931083,25.939972246997893,25.94875084584466,35.4452557486768,28.202820464740405,26.97437489156288,36.739006012515695,28.40300142391761,26.97437489156288,28.57078037210657,31.396201972088075,17.887183776586383,25.073091735631934,28.608317034587763,30.712175075703428,21.006415533389458,33.072296810114985,33.28884865483261,32.65235806058689,26.97437489156288,35.370683637739,35.44525574867681,28.40300142391761
miminimkkk,8062.2,60.0,1091.0,36.63577600628225,36.63577600628225,36.63577600628225,27.260956785309034,28.909262026386642,21.760952445105286,21.206710652697446,36.63577600628225,36.274997686985905,36.63577600628223,30.047299955320565,34.38143268218391,20.393521950668244,26.022278705224267,30.35912623410176,35.70453242707532,28.292640115648833,35.07587503457201,34.742858024045475,35.64128461598563,34.810915210363206,34.74857831772869,34.945839008317144,,35.06551968140656,35.79556601179895,33.19854254993152,26.11220937057247,26.23392897901602,33.19496760749441,28.510971183090696,25.748635198212394,35.68437509906404,25.833023684006847,25.874613660537804,29.430013560875256,31.962266883952875,21.239560935710763,25.871787134267585,28.292640115648833,30.97671129719432,23.085118487163523,33.413295905519696,33.26513291937006,33.6166657137996,25.756408630059042,34.82303502441205,26.48544677290023,27.14087437073764
