,hedonic,util,exp,kids,handmake,clean,elecpart,eleccom,measure,art,music
보석십자수,1,,1,1,1,,,,,1,
미니어처,1,,1,1,1,,,,,1,
펀치 니들,1,,1,1,1,,,,,1,
3d펜,,1,1,,1,,,1,,1,
3d프린터,,1,,,,,,1,,,
가죽공예,1,,1,,1,,,,,1,
가방 만들기,1,,1,,1,,,,,1,
양모펠트,1,,1,1,1,,,,,1,
프랑스 자수,1,,1,1,1,,,,,1,
스크래치 북,1,,1,1,1,,,,,1,
LED조명,,1,,,,,,,,1,
무드등,1,1,,,,,,,,1,
칼림바,1,,1,,,,,,,,1
오르골,1,,1,,,,,,,,1
발난로,1,,,,,,,,,,
우산,,1,,,,,,,,,
캡슐세제,,1,,,,1,,,,,
전자저울,,1,,,,,,1,1,,
산소포화도 측정기,,1,,,,,,1,1,,
소음측정기,,1,,,,,,1,1,,
거리측정기,,1,,,,,,1,1,,
온습도계,,1,,,,,,1,1,,
적외선온도계,,1,,,,,,1,1,,
높이측정기,,1,,,,,,1,1,,
타이머,,1,,,,,,1,1,,
유수분 측정기,,1,,,,,,1,1,,
아두이노,,1,,,,,1,,,,
라즈베리 파이,,1,,,,,1,,,,
마이크로비트,,1,,,,,1,,,,
휴대용선풍기,,1,1,,,,,1,,,
스피커,1,,,,,,,1,,,1
디퓨저,1,,1,,,,,,,,
기저귀,,1,1,1,,,,,,,
파우치,,1,1,,,,,,,,
운동화,,1,1,,,,,,,,
청소세제,,1,1,,,1,,,,,
로봇청소기,,1,,,,1,,1,,,
공기청정기,,1,,,,1,,1,,,
진공청소기,,1,,,,1,,1,,,
자외선차단제,,1,1,,,,,,,,
섬유유연제,,1,1,,,1,,,,,
가습기,,1,1,,,,,1,,,
마우스패드,,1,1,,,,,,,,
전동칫솔,1,1,1,,,1,,1,,,
수납박스,,1,,,,1,,,,,
청소포,,1,,,,1,,,,,
에어프라이어,,1,1,,,,,1,,,
거북목베개,1,1,1,,,,,,,,
컵홀더,,1,,,,,,,,,
