blogid,보석십자수,미니어처,펀치니들,3d펜,3d프린터,가죽공예,가방만들기,양모펠트,프랑스자수,스크래치북,LED조명,무드등,칼림바,오르골,발난로,우산,캡슐세제,전자저울,산소포화도측정기,소음측정기,거리측정기,온습도계,적외선온도계,높이측정기,타이머,유수분측정기,아두이노,라즈베리파이,마이크로비트,휴대용선풍기,스피커,디퓨저,기저귀,파우치,운동화,청소세제,로봇청소기,전동칫솔,수납박스,청소포,에어프라이어,거북목베개,컵홀더,공기청정기,진공청소기,자외선차단제,섬유유연제,가습기,마우스패드
ese2698,,,,,18.569300011777365,30.152150553861237,,,,,,,27.211793236557977,36.445031124850885,23.053868852004538,,,,,,,,,,,,,,,,33.139136342869016,39.61433386259014,,40.7846757690072,40.7846757690072,,,23.171128160304715,,,,33.139136342869016,,,,40.7846757690072,,48.45941580453936,40.7846757690072
dalnim-design,,,,28.60266503154533,35.47479945886729,,,,,,35.47479945886729,34.92838738601184,,,,30.3081242660597,23.186429974359857,,,,,,,,,,,35.47479945886728,29.409586450192663,28.443521097812557,,,39.20593448617406,0.0,16.498355373175617,27.549584003415767,,,23.186429974359857,23.186429974359857,27.54958400341576,18.201812779079848,39.44199699127194,,,,,18.201812779079848,24.85927330073418
sweety2209,,,,,32.781488219071576,28.86310671350266,28.86310671350266,,,,,,32.38923208772128,32.38923208772128,,,,,,,,,,,,,,,,38.95021201827904,,38.484142284670206,,32.78148821907157,,,,,,,,32.38923208772128,,,,,38.95021201827903,38.95021201827904,32.78148821907157
sssunz,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,
sbnita_bibi,29.2579101455194,,,,,31.262981382179404,31.262981382179404,,,,,47.3610952285864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.36001026387642,,,,,,,
nr702411,,44.163451021130975,44.163451021131,,22.03731479830155,26.799501590973033,26.799501590973033,44.163451021131,44.163451021131,44.163451021131,34.33917999950039,,30.298251400825045,30.298251400825045,,47.02085872989152,,,,,,,,,,,,34.33917999950038,,0.0,42.07221667900902,35.73266878796404,,34.385127289086846,34.38512728908684,,,25.990639136957487,,,19.593769244437745,29.196964814043252,47.020858729891515,,,34.1704109574204,,19.172457456129386,25.33051253059878
yoongu0,54.77929334954378,,,,53.24284187344412,34.3894534284417,40.4590158968024,,,,69.02138652619627,,95.0,70.20089060283476,,94.5114258767021,54.230271342904075,89.01244784319013,,,89.01244784319012,89.01244784319013,89.01244784319013,,89.01244784319013,,69.02138652619625,,,29.825873488554674,,39.97720704768321,,46.09521375548382,33.9236098209704,,25.094133616057896,,,33.77481645848316,89.6197503166392,,,35.97741694913682,,34.07240318345765,34.557613361051445,50.95118800959673,94.51142587670212
kiho1030,,,,,,,,,,,,,,,,,14.367375753333487,,,,,,,,,,,,,,,,,0.0,0.0,17.070986161422965,0.0,,,28.734751506666974,34.14197232284592,0.0,,,0.0,0.0,,0.0,9.578250502222323
88bn_l,,,,,,,,,,,,,,,,,31.10010293768575,,,,,,,,,,,,,,,,,,,36.952428612085455,,,31.10010293768575,31.10010293768575,36.95242861208545,,,,,,,,31.100102937685747
cslove89,,,,,,35.37134800976121,35.37134800976121,,,,,,39.69256710012298,39.69256710012298,,,,,,,,,,,,,,,,,,47.16179734634828,,,,,,,,,,39.69256710012298,,,,,,,
real3622,22.503031849325655,,,,26.675037247474076,25.45041057634386,24.864433845363706,,,,,36.42666988335934,27.28307478587173,31.632351377700797,,40.79891044603448,29.428387069656726,,,,,,,,,,22.37256866647324,29.79531143056831,,36.06584628352624,35.48602470831224,34.24491009089818,43.404617880773294,0.0,21.05096957328728,,36.489183694301005,21.92193650350407,,,36.37246023891759,,40.798910446034476,34.36424444959803,32.93915788663918,33.479109445089684,32.18308652205397,23.523077874445782,30.63490131990168
lemon6139,,,,,35.10423284270932,38.065874328827455,38.065874328827455,,,,,,42.716276196340324,42.716276196340324,,,42.16328614049411,,,,,,,,,,,,,20.855021938373838,,50.754499105103264,,0.0,0.0,50.09744901099928,0.0,,42.16328614049411,,50.09744901099926,10.679069049085081,,0.0,0.0,,41.71004387674767,13.903347958915893,
ssb84351,23.764218161650998,,,,38.07733142019613,25.392801681822096,25.392801681822096,,,,,38.46820889766168,,,,52.13953337110413,26.46691220570578,,,,,,,,,,,38.077331420196124,38.077331420196124,,,,,,,31.44737770879073,,,26.46691220570578,26.46691220570578,31.44737770879072,27.90830841595064,52.139533371104115,,,,,,26.466912205705775
dmsrud1714,,,,,,35.41425614104139,35.41425614104139,,,,,,39.74071719831854,39.74071719831854,,,,,,,,,,,,,,,,,,47.219008188055184,,,,,,,,,,39.74071719831854,,,,,,,
j_jinsun,,,,,,,,,,,,,,,,,27.235536473388084,,,,,,,,,,,,,37.23799201609517,,,,40.46792211753864,40.467922117538635,32.36063942493219,37.23799201609517,,27.235536473388084,27.235536473388084,32.36063942493218,35.648411811019805,,37.23799201609517,37.23799201609517,,,34.05883160594444,
myjw_66,,,,,26.538421886747184,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,29.514372309257105,0.0,,37.900444273918566,29.218199447980137,34.04641773924539,,,,,,,15.2312563272411,,,,34.04641773924539,31.532343870769356,30.99742826262578,31.543752455079318
mellon777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qwe204ewq,,,,,,,,,,,,,,,,,,43.91092710810674,42.65054247159482,43.91092710810674,42.65054247159482,41.390157835082896,41.390157835082896,,41.390157835082896,43.91092710810674,,,,,,,,,,,,,,,,,,,,,,,
cocopeople,39.32992252469748,,,,23.656799107281678,,,,,,29.940714737302503,,,,,22.555307068218205,27.23034377839676,,,,,,,,,,30.885126181797077,,29.9407147373025,,,37.75347090579982,,,37.75347090579982,32.35446958390769,,,27.23034377839676,27.23034377839676,32.35446958390768,34.81573691361623,31.77665959591904,,,,,34.81573691361623,35.450358106174626
tao_xoxo,,,,,,,,,,,,,,,,,40.78681218555686,,,,,,,,,,,,,47.402107037038,,48.4208789746004,,48.4208789746004,48.4208789746004,48.46195424565628,47.402107037038,,40.78681218555686,40.78681218555686,48.461954245656266,47.402107037038,,47.402107037038,47.402107037038,,,57.53257721456582,
alfk8195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.23671341788447,,,,,,,45.64699625037106,,,,54.23671341788446,,45.64699625037106,54.23671341788446
ulkeuni96,,,,,19.602953832625595,25.975583977804177,25.975583977804177,,,,15.535320198875707,,27.73034283788126,27.73034283788126,,42.54522655494935,32.11184153828138,,,,,,,,,,31.07064039775141,0.0,,34.915856890884925,36.26752928973191,34.63411197040556,,,0.0,39.391684500751076,28.751482851929776,22.40472075313197,33.15304267881135,33.15304267881135,34.91585689088493,,0.0,28.751482851929776,28.751482851929776,,,17.457928445442466,42.54522655494936
dyj04030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ritge3,45.350053449879496,,,,36.18191335489979,34.51241601836649,34.51241601836649,,,,39.64341404115366,,35.65515604217224,35.65515604217224,,54.28398031714226,46.66866830887289,,,,,,,,,,,39.643414041153655,39.643414041153655,,44.9097871774381,46.016554691155314,44.67493279845544,42.257791531735364,45.15344498143744,38.34667134389788,,27.743583875121068,44.209245428099045,45.43895686848597,,40.363605952364544,54.283980317142245,,46.329132544445486,45.15344498143744,37.20762437686228,,44.27215529121223
cha4290,46.19019415407944,,46.19019415407944,,,50.26483327013243,50.2648332701324,46.19019415407944,46.19019415407944,,,,,,,,35.23258179367251,,,,,,,,,,,,,,,,,,,41.86254515487547,,,35.23258179367251,35.23258179367251,41.86254515487546,,,,,,,,35.2325817936725
songitktk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenlord,0.0,,,,36.15986533890845,16.718734463806943,16.718734463806943,,,,,0.0,37.52243139564053,37.52243139564053,,46.46011298844506,39.55037945027022,,,,,,,,,,33.92966921068014,,,20.113075182719307,,44.583291903485176,,,38.625229390417246,37.94269810046053,,48.35236186187733,,,40.19011402669938,,,0.0,28.015881345366335,42.41231512879761,55.71399646666745,36.36706247329793,46.46011298844507
hyunjin0514,,,,,26.19040091365803,,,,,,33.4229791572826,,27.781141474643288,27.781141474643288,,45.76629905867173,37.04354744136529,,,,,,,,,,,33.42297915728259,33.42297915728259,,38.292924735319126,32.91954125793958,,32.91954125793958,32.91954125793958,31.17679085987655,31.17679085987655,23.655934173559103,,,,,45.76629905867172,,31.17679085987655,32.91954125793958,,39.114243470961775,32.91954125793958
