,weekly view,2021 post num,5years post num,보석십자수,미니어처,펀치니들,3d펜,3d프린터,가죽공예,가방만들기,양모펠트,프랑스자수,스크래치북,LED조명,무드등,칼림바,오르골,발난로,우산,캡슐세제,전자저울,산소포화도측정기,소음측정기,거리측정기,온습도계,적외선온도계,높이측정기,타이머,유수분측정기,아두이노,라즈베리파이,마이크로비트,휴대용선풍기,스피커,디퓨저,기저귀,파우치,운동화,청소세제,로봇청소기,전동칫솔,수납박스,청소포,에어프라이어,거북목베개,컵홀더,공기청정기,진공청소기,자외선차단제,섬유유연제,가습기,마우스패드
luna0723,481.6,30.0,374.0,57.29414950491098,35.35708695576925,57.29414950491098,25.680562797733852,25.422426169960797,24.883708995517914,43.616013049807854,57.29414950491098,57.29414950491098,35.33302425210377,28.035355370362797,34.889940024095814,27.92368243166643,27.92368243166643,19.723868193521568,34.72864587011021,28.119612571930247,35.09519280135696,35.05327523998911,35.94545352944686,34.73660205853977,34.538678258693196,34.79866527878432,,35.27463009579027,36.22921875195196,28.946594965190126,26.25433926680844,24.90044463987963,39.422423187136864,27.596342135650282,33.178278660690545,35.67909432072577,28.855169576969363,29.2691112646874,28.675185251470726,39.422423187136864,23.765343953670502,24.886149035462118,28.09235148272481,30.04699993007882,33.673052809401646,33.304351261933824,39.422423187136864,39.422423187136864,29.03495631531765,34.631066556943296,28.851010210234662,28.735275775994758
daily_something,321.8,120.0,1367.0,25.21749274767214,17.413925197571054,17.413925197571064,29.960154489936738,23.600485366625325,23.995142507311588,24.63809209723087,17.413925197571064,17.413925197571064,17.413925197571064,23.600485366625325,35.19370235959693,27.3167008311501,27.777748006340655,21.916487870575757,32.31629550842819,21.158426719807018,34.18992352020862,33.82862011852207,34.827891704105916,33.91905659001598,34.07284290134989,34.19829274578644,,34.13964637839362,34.84464927332751,29.267915395294228,23.60048536662532,23.60048536662532,31.796495576069013,28.562511650903843,32.00505665698948,34.439980170393014,28.96414238826629,29.141558586554368,25.139957075842734,30.497914371925333,25.189435968372297,21.158426719807018,21.158426719807018,25.139957075842727,25.879175990761976,32.31629550842818,31.43810833848725,32.1579249813815,30.025901137541922,33.8278720242675,28.814692455319754,21.158426719807014
skawjd1112,84.2,30.0,137.0,26.508442977469613,29.67931653167655,32.35293590446722,25.783804426240554,24.84968053145618,23.77964679391841,24.668128042534086,32.33251410162169,32.35293590446722,29.508943428897183,28.5630855500876,34.74882638659592,25.972665691272052,26.352979451558625,19.911090379552057,34.682193817136934,28.355548854283658,34.556730583955535,34.299386244578585,35.028447907458606,34.208832755757996,35.3916409764331,35.526030847306274,,34.55135310000185,34.56539680630262,29.859293446461642,25.939836234634814,24.78071796196151,30.06692124636095,28.290127074003124,32.103942338560636,37.08482043650368,25.30467065160388,25.304670651603878,29.271403472137862,29.767666887799866,24.269658519212893,25.43337833686899,28.214602751894983,30.267600456411078,21.297053850791603,32.950719483298954,31.36817704030262,31.493245684812884,25.304670651603878,32.23654637362681,21.297053850791603,25.304670651603878
lim8419,288.0,90.0,1734.0,24.98750263637691,30.09231560447767,30.99038996024454,26.271793151771245,26.823922191166787,25.068070592268526,25.72937574565868,30.92872781696089,30.9298881218861,30.0726136166421,29.236321425411134,34.0633921188288,26.589990605971767,30.05147280795104,20.59319449881535,34.362532661315,28.70179273582943,34.95113257719585,34.23038373236723,35.90728342779395,34.30983941865629,34.4006795420779,34.55696746109091,,34.95733709954813,35.65519841484446,28.986536103452725,25.45438660842379,24.169226425713408,38.43200277062715,33.50468332932484,31.162143789222014,36.722007146066346,35.82587892956201,35.173887861678416,28.892756050660587,35.68892827130293,20.697938034840636,27.366876528252714,38.49012301159915,32.51669466407454,29.584779015240418,32.242834117287615,35.688928271302935,33.15227695099148,30.12078174390992,33.65670682831608,32.980271354774345,32.68940099387926
hr2love,225.4,60.0,540.0,57.29414406504625,17.413925777380015,37.35403716054042,26.22901003262426,25.21220385041642,24.97588969438441,34.67269315504719,37.35403716054042,37.35403716054042,17.41392570827474,23.60048574596766,17.18073814567851,23.898136432556065,28.98757724612371,24.272940316913264,32.31629598465757,24.930110137246075,45.23296095811984,45.23296095811984,45.23296095811984,45.23296095811984,36.406949668368426,36.59946119149619,,45.23296095811983,45.23296095811984,31.887279130997456,23.600485630937648,23.600485461757053,37.16341890651588,25.342709649992674,28.251393128976247,35.42098240756377,30.56527472309811,30.239279146368055,25.13995802238532,36.24906079973569,20.697938576905674,24.262651664227196,29.824274739631164,28.82832597572512,29.547678951059265,32.31629566460752,36.249060923057236,36.529127009540865,25.304671913461725,33.65670711161151,27.138662933415773,26.384166410937073
77ended,13816.8,150.0,3076.0,25.3200989920538,30.107354061698665,30.82580596792091,25.388870063900953,28.829816794620577,27.68815812658386,27.68815812658386,30.720977755008903,30.788058949283254,29.995021594818915,28.962917408891354,33.95176814713367,26.576402827626247,26.576402827626247,18.707953754029948,34.13289642080203,28.81911696892161,33.77606920747918,35.737663062127304,33.77606920747918,35.4923339816073,31.814475352831057,31.814475352831064,,31.814475352831064,35.737663062127304,28.88070360468072,25.803421446380614,23.892108007711037,37.76813109282634,30.43743729533973,27.972873629280464,36.3691194744458,29.669758564815147,33.97776339249105,29.25813869529747,39.40372943455359,37.5606490641292,28.544223226124156,39.98265315570164,33.915590992229475,28.69723444688541,32.26006580285508,33.014858584220676,21.957067922444384,29.804897688554323,38.637749110846656,33.28255667911994,29.38533234754015
mintnbambi,878.2,30.0,249.0,40.95601226821751,30.910533155684753,34.66198578121328,25.73503249212069,24.58466377620891,24.586638926703355,26.151818880859413,34.5906525722854,34.65437218156459,30.804695345591636,26.259314206831757,34.98904103302482,25.343394251277108,25.76189154099208,19.679157407564844,33.05509759014919,27.1494139603042,34.268499970706266,34.17830146745357,35.23029058727525,33.87579678396091,33.747713562859325,33.878527840114145,,34.27999988167616,35.53333719927522,27.230106341346968,25.031381173804835,23.713872210411964,29.210933319505095,28.583494731704924,31.289764290094894,36.24134048345807,24.584663776208906,29.9033603920469,28.166782746695745,30.398010193264348,22.878280869834832,24.463324699591137,26.783437755720534,29.639435276339153,25.167427996091543,32.17942418971266,32.19814988710216,31.48613458356227,29.9033603920469,29.210933319505088,27.189180657798317,27.244012084127903
marilyn1,115.4,30.0,904.0,25.442194840313128,30.035974620825616,31.814580738184326,25.111681558447593,26.70553226144927,18.60140064650971,23.798355072480888,31.757113987143775,31.778356341425894,29.92814085077337,28.435297601597032,33.6510324386651,26.08422618494218,28.17974065348146,21.47769629531258,34.90586416146767,28.34746896951735,34.06092188710857,33.94710934987028,34.82798514857941,34.022516955917794,33.30444890857712,33.57279888273288,,34.038095448026574,35.03965979983889,30.26894747337504,26.133349732741394,24.599352296460744,31.393724478245282,20.444125572133608,23.716785824299873,36.812323737194404,30.12486169896001,32.76151872335684,29.06440290416257,30.099407859715313,25.988668969361235,25.35892666667609,28.885422404995058,30.435820498268775,24.00852612501614,32.71587723977477,32.01304848014975,31.696096042588337,32.761518723356836,34.113680274609685,27.572926677898664,32.761518723356836
pure_yeong0,302.6,60.0,1666.0,31.900059188179604,34.25040663866544,38.726165663930225,27.190379968342064,25.568756741515458,25.152408071327244,32.61617085104234,38.726165663930225,38.726165663930225,34.44654453613035,27.451973856940867,40.58833512933874,37.92855798675959,35.187365617161774,21.69289019966854,36.37996339912765,30.416462200032495,34.399351092076195,34.0752581810305,35.19381072044918,34.10811548267963,34.69614461815921,34.82925040879195,,34.514643226152316,34.847557659855305,29.911156346260835,26.56816879321936,26.56816879321936,34.66385853432112,27.470886738099466,30.441416284846223,34.974555534552664,32.89632805941304,33.484313644009234,30.754835300893312,33.889773111657604,25.28830704601518,32.84446353454559,25.33003679484804,27.34867333568053,28.615041777798577,36.37996339912764,42.3300653224224,34.4124279002136,40.589313010401405,32.82735910923533,27.1985112155948,28.356726336110565
jae2653,51.6,30.0,915.0,36.04251650281319,34.9582127540348,36.04251650281319,26.29183185587703,22.728749100381734,22.84859960817052,31.035292091827102,36.04251650281319,36.04251650281319,34.8644175118337,27.340993794848348,36.161727210603345,25.63994939748621,25.63994939748621,20.112399080122763,34.95308319955904,26.05273758799368,32.497054866675086,33.03590316184855,32.97629333651831,32.0872407824769,32.15274459757123,32.40490361831489,,32.510435947605586,33.98637154026385,29.325747746022984,25.9840980105041,25.38088281000371,19.629981118627114,27.634946177463302,30.46479947756069,32.728374943836265,29.420078061945745,30.16018147290993,27.530353282547278,19.629981118627114,22.429957678636598,24.068820613465448,25.40443104044916,28.689577293357093,22.63496525805666,33.27062533921141,19.629981118627114,19.629981118627114,29.4685174036176,31.856805127055342,27.671327966575838,27.910073083519315
